dates,green,red,nir,swir1,swir2,evi,qa
737323,991,1207,3511,3432,2230,3594,0
737335,891,1164,2412,3398,2394,2093,0
737339,494,640,1392,1497,1063,1444,4
737340,725,991,2091,2932,2091,1909,0
737345,665,918,1924,2922,2050,1792,0
737350,695,956,1972,2975,2079,1808,0
737355,655,890,1818,2788,1902,1690,0
737355,672,880,1852,2707,1889,1794,0
737365,652,881,1730,2666,1833,1573,0
737371,628,838,1699,2402,1671,1609,0
737375,578,838,1687,2442,1692,1547,0
737387,584,784,1613,2274,1525,1575,0
737390,618,841,1669,2563,1752,1542,0
737400,447,914,2204,3191,2243,1992,4
737419,977,1230,2284,3276,2329,1832,0
737430,601,815,1733,2498,1647,1694,0
737450,601,823,1796,2569,1668,1793,0
737451,675,884,1838,2520,1727,1754,0
737483,695,912,1916,2590,1784,1822,0
737490,839,1086,2161,3078,2271,1883,0
737495,419,622,1912,2282,1319,2292,0
737520,1050,1173,2888,3294,2311,2941,4
737525,937,1207,2236,3187,2365,1746,0
737531,1582,2108,3054,4239,3867,1342,0
737535,1407,1949,2837,3988,3470,1252,0
737545,1279,1754,2777,3668,3025,1471,0
737547,1625,2089,3367,4408,3817,1784,0
737555,1286,1625,3021,3640,2893,2046,0
737563,4420,4340,4921,3899,3193,1915,4
737570,1524,2053,3519,4576,3681,1950,0
737575,1699,2166,3555,4860,4194,1917,0
737590,853,1102,2530,3022,2041,2312,0
737595,1736,2193,3964,4968,4134,2393,0
737595,7984,8240,9226,6738,4692,1800,4
737611,956,1036,3010,2460,1832,3228,0
737615,1318,1603,4594,4527,3202,4081,4
737620,986,1013,4116,3235,2049,4843,0
737625,889,832,4597,3178,1739,5940,0
737630,1035,1152,4752,3537,2262,5239,0
737635,730,633,4379,2644,1335,6083,0
737640,852,806,4677,3031,1776,6136,0
737645,739,682,4489,2716,1471,6120,0
737650,880,857,4559,2501,1428,5877,4
737655,688,583,4922,2695,1354,6984,0
737659,589,506,4555,2360,1146,6757,4
737660,623,565,4294,2481,1281,6215,0
737675,542,507,3792,2311,1161,5746,0
737675,568,550,3776,2307,1227,5651,0
737680,247,259,3163,1552,741,4926,4
737685,738,791,3544,2738,1698,4702,0
737700,891,1147,2921,3364,2420,2949,0
737705,925,1231,2918,3411,2386,2735,0
737715,815,1057,2067,2970,2161,1796,0
737720,670,903,2030,2649,1850,2018,4
737730,702,916,1793,2593,1846,1604,0
737735,737,942,1857,2710,1877,1685,0
737739,910,1123,2177,3067,2145,1841,0
737740,912,1167,2190,3175,2375,1759,0
737755,749,998,2256,2718,1756,2106,4
737755,384,506,1080,1335,980,1185,2
737760,762,1061,2177,2867,2018,1871,0
737765,917,1289,1976,2985,2740,1150,0
737770,816,1067,1677,2467,2004,1148,2
737771,655,926,1560,2088,1575,1132,0
737780,688,1090,1791,2419,1878,1139,0
737785,1105,1544,2290,3329,2837,1152,0
737787,1434,1847,2865,3928,3357,1513,4
737795,695,1079,1800,2451,1855,1173,0
737803,1133,1530,2332,3160,2727,1252,0
737805,1299,1789,2673,3802,3398,1310,0
737819,934,1294,2087,2636,2117,1287,0
737840,9964,9645,9122,947,1028,-9005,3
737845,661,1032,1851,2463,1773,1323,0
737855,1217,1678,2604,3557,3012,1363,0
737870,1054,1470,2532,3290,2671,1598,0
737875,751,1087,2204,2704,1883,1742,4
737883,1414,1823,3081,3904,3348,1850,0
737885,1366,1749,3209,4116,3314,2110,0
737895,1016,1408,2595,3212,2475,1800,0
737899,1070,1441,2470,3245,2548,1616,0
737900,1354,1840,3054,4203,3493,1734,0
737905,729,1082,2110,2688,1858,1633,0
737910,879,1258,2206,2966,2228,1493,0
737915,2093,2300,3302,3383,2810,1886,4
737915,643,1060,2223,3018,2063,1750,4
737930,1290,1777,2905,3944,3367,1640,0
737931,1480,1926,3017,4127,3649,1609,0
737935,1420,1565,2665,2668,1998,1818,4
737940,1662,2274,3381,4840,4335,1494,0
737955,1626,2119,3327,4682,4085,1687,0
737963,1124,1493,2567,3320,2642,1660,0
737970,1759,2333,4076,5190,4185,2254,0
737975,1462,1797,3677,4623,3853,2805,0
737979,940,1104,2994,2928,1873,3037,0
737980,787,870,3122,2820,1609,3748,0
737985,756,674,3037,2353,1396,4160,4
737995,902,846,4585,3185,1939,6208,0
737995,924,850,4639,3283,1973,6222,4
738000,717,591,4831,2323,1111,6588,4
738005,463,277,3943,1624,676,6522,4
738010,606,393,4994,2010,821,7393,0
738011,586,363,5087,2070,790,7685,0
738025,530,292,4796,1973,717,7608,0
738027,558,346,4778,2022,828,7517,0
738030,560,302,5060,2000,715,7810,0
738035,528,308,4373,1870,740,7088,0
738040,479,311,4103,1889,757,6641,0
738043,580,463,4149,2001,913,6218,0
738045,556,447,4073,2077,912,6279,0
738055,-236,-176,774,330,156,1901,2
738059,535,609,3351,2368,1342,4822,0
738060,518,603,3447,2441,1346,4883,0
738070,4134,4208,6242,5555,3946,3790,4
738075,847,1095,2514,2969,2010,2371,0
738075,718,991,2501,3001,1965,2534,0
738080,813,1133,2515,3317,2310,2264,0
738085,1418,1847,3085,3846,2861,1811,4
738100,948,1385,2696,3782,2686,2017,0
738102,977,1397,2716,3668,2614,2050,0
738105,30,308,1473,1229,677,2113,4
738107,719,1087,2301,2796,1821,2001,0
738120,600,991,2132,2773,1777,1856,0
738123,753,1092,2198,2893,1932,1870,0
738130,528,928,2034,2519,1600,1801,0
738131,692,1029,2092,2613,1748,1807,0
738145,658,1093,1847,2399,1736,1193,0
738160,881,1401,2352,2893,2275,1378,0
738165,513,928,1675,2094,1455,1194,0
738171,1616,1694,2720,1091,875,1622,3
738175,930,1421,2278,2965,2424,1289,0
738179,1489,1899,3006,3562,2985,1571,4
738180,1235,1750,2633,3605,3208,1280,0
738185,1373,1865,2681,3882,3419,1218,0
738187,1428,1901,2770,3858,3402,1293,0
738195,1129,1460,2064,1736,1222,995,0
738195,848,1264,1950,1708,1141,1094,0
738200,1046,1513,2279,3116,2552,1156,0
738205,837,1283,2075,2722,2044,1217,0
738215,896,1344,2150,2972,2371,1248,0
738225,1394,2094,3512,3949,2943,1756,4
738230,862,1173,1675,1846,1328,866,2
738240,1247,1716,2776,3414,2838,1502,4
738250,857,1275,2520,2852,1900,1818,4
738255,1279,1756,2935,3949,3244,1697,0
738259,773,1034,2024,2356,1605,1670,0
738267,965,1219,2408,2828,1955,1915,0
738275,1327,1870,3815,3681,2827,2430,4
738283,1205,1574,2747,3424,2670,1774,0
738285,1357,1856,3176,4203,3322,1837,0
738290,1538,2060,3387,4666,3842,1839,0
738291,1650,2159,3410,4825,4274,1738,0
738295,1452,1963,3135,4555,3988,1697,0
738305,1592,1991,3631,4956,3803,2292,4
738310,1686,2162,3636,5064,4300,2031,0
738315,1502,1872,3476,4653,3851,2302,0
738315,1559,1923,3572,4845,3946,2373,0
738320,1422,1883,3326,4495,3678,2042,0
738325,1602,2109,3497,4706,4086,1915,0
738330,1262,1609,3202,4049,3090,2354,0
738331,1445,1793,3424,4275,3387,2374,0
738335,1190,1460,3143,3735,2839,2573,0
738339,1609,1745,4844,4828,3292,4209,4
738340,698,875,2945,2575,1783,3197,2
738345,1014,982,4245,3461,2064,5054,4
738347,1125,1221,3958,3658,2562,4284,0
738350,968,928,4203,3421,2146,5210,0
738360,756,511,5042,2913,1476,7546,0
738363,758,506,5758,2967,1383,8689,4
738370,557,284,5533,2630,1113,8673,0
738375,299,113,5176,2140,1299,7731,4
738379,542,299,6410,2639,1060,9936,4
738380,472,255,5475,2221,896,8673,0
738385,435,224,5885,2371,930,9155,0
738387,440,241,5885,2256,884,9255,0
738390,469,256,6052,2430,942,9356,0
738395,4397,4358,5860,3953,2671,4623,4
738395,463,236,5695,2272,798,9101,0
738405,3733,3661,6734,4574,3435,5924,4
738410,433,234,5349,2272,924,8438,0
738411,500,318,5312,2160,876,8480,0
738415,564,326,5122,2216,889,8253,0
738419,663,422,4527,2310,1049,7062,0
738425,760,520,3851,2251,1129,5754,0
738427,748,582,3685,2149,1131,5215,0
738430,750,721,3243,2359,1289,4140,0
738435,850,1165,2913,2764,1649,2700,0
738435,624,1002,2925,2828,1595,2849,0
738443,707,1051,2241,2563,1588,1976,0
